scenario,drift_level,metric,mean,std,ci_lo,ci_hi,p_degraded
A,0.5,accuracy,-0.01093520552081421,0.00019852028694951175,-0.011319099925727261,-0.010548065124367418,1.0
A,0.5,f1,-0.07421984987462195,0.0014094002235237883,-0.07694847791705908,-0.07148814970106031,1.0
A,0.5,roc_auc,-0.050389713225146626,0.005297723782570012,-0.06122644901283751,-0.03968185979317424,1.0
A,1.0,accuracy,-0.011684239073667956,0.00021908215820627845,-0.012117538216205825,-0.01126841457514965,1.0
A,1.0,f1,-0.07873326026236607,0.001549483743107071,-0.0818058515286875,-0.07582618020419128,1.0
A,1.0,roc_auc,-0.05094444729837991,0.005413863713964415,-0.06194670282903904,-0.04000330677974723,1.0
A,1.5,accuracy,-0.012921035447941676,0.0002417114129333796,-0.013386321168742065,-0.012458130265097844,1.0
A,1.5,f1,-0.08606001947063596,0.0016927069167562998,-0.0893623557749122,-0.08286165156720614,1.0
A,1.5,roc_auc,-0.05173577155240272,0.005522705217272748,-0.06284649740182266,-0.04051334351880187,1.0
A,2.0,accuracy,-0.014903184510615711,0.00028254842879321744,-0.015446768130509872,-0.014355728742250716,1.0
A,2.0,f1,-0.09758245017109855,0.0019197730869964576,-0.10129079470884518,-0.09389959090584839,1.0
A,2.0,roc_auc,-0.05270205325533104,0.005600452921591906,-0.0638579012701579,-0.04125297116598249,1.0
A,4.0,accuracy,-0.03906116471323247,0.0007763295029819253,-0.04031975385921336,-0.03732382392205412,1.0
A,4.0,f1,-0.21707153594896214,0.003662600737077846,-0.22318441380749168,-0.20898545633797422,1.0
A,4.0,roc_auc,-0.06604581089697546,0.005809070155147542,-0.07690264574115092,-0.053824499790596475,1.0
B,0.5,accuracy,3.0988997516098183e-07,0.0001623691104393075,-0.00031370284365894453,0.00032242750878722076,0.4994
B,0.5,f1,1.7367262220846057e-06,0.0009964701335886136,-0.0019201535115299761,0.0019797917214500606,0.4984
B,0.5,roc_auc,7.928188639013678e-08,2.7046571419659943e-05,-5.394484882346173e-05,5.331612978266285e-05,0.5005
B,1.0,accuracy,3.0988997516098183e-07,0.0001623691104393075,-0.00031370284365894453,0.00032242750878722076,0.4994
B,1.0,f1,1.7367262220846057e-06,0.0009964701335886136,-0.0019201535115299761,0.0019797917214500606,0.4984
B,1.0,roc_auc,7.928188639013678e-08,2.7046571419659943e-05,-5.394484882346173e-05,5.331612978266285e-05,0.5005
B,1.5,accuracy,3.0988997516098183e-07,0.0001623691104393075,-0.00031370284365894453,0.00032242750878722076,0.4994
B,1.5,f1,1.7367262220846057e-06,0.0009964701335886136,-0.0019201535115299761,0.0019797917214500606,0.4984
B,1.5,roc_auc,7.928188639013678e-08,2.7046571419659943e-05,-5.394484882346173e-05,5.331612978266285e-05,0.5005
B,2.0,accuracy,3.0988997516098183e-07,0.0001623691104393075,-0.00031370284365894453,0.00032242750878722076,0.4994
B,2.0,f1,1.7367262220846057e-06,0.0009964701335886136,-0.0019201535115299761,0.0019797917214500606,0.4984
B,2.0,roc_auc,7.928188639013678e-08,2.7046571419659943e-05,-5.394484882346173e-05,5.331612978266285e-05,0.5005
B,4.0,accuracy,3.0988997516098183e-07,0.0001623691104393075,-0.00031370284365894453,0.00032242750878722076,0.4994
B,4.0,f1,1.7367262220846057e-06,0.0009964701335886136,-0.0019201535115299761,0.0019797917214500606,0.4984
B,4.0,roc_auc,7.928188639013678e-08,2.7046571419659943e-05,-5.394484882346173e-05,5.331612978266285e-05,0.5005
C,0.5,accuracy,-0.01352180710688366,0.0002564668844038133,-0.014017176792164599,-0.013023906905297767,1.0
C,0.5,f1,-0.08959275497553261,0.0017788392732073263,-0.093019792545287,-0.0861965368090853,1.0
C,0.5,roc_auc,-0.05196695653299839,0.00554281413638948,-0.06308304166173058,-0.040668073927448714,1.0
C,1.0,accuracy,-0.02679818803974656,0.0005197206310645349,-0.02769426879270571,-0.025664774363527598,1.0
C,1.0,f1,-0.16092623545978849,0.002920579544703641,-0.16612373974472625,-0.15473220505516808,1.0
C,1.0,roc_auc,-0.059606579555531156,0.005873560982593087,-0.07092431237727659,-0.047377831933036144,1.0
C,1.5,accuracy,-0.07119159952872828,0.0015690367965226959,-0.07372521366930414,-0.06767057684224086,1.0
C,1.5,f1,-0.33277698429101,0.005252093589384746,-0.3413810344915719,-0.3210070148441165,1.0
C,1.5,roc_auc,-0.08258481520395573,0.00584030104999101,-0.09317564453994608,-0.07042570751887392,1.0
C,2.0,accuracy,-0.18149323784039742,0.004313578369570581,-0.18854602544103086,-0.1718782349205945,1.0
C,2.0,f1,-0.5515165512314189,0.006190429173539377,-0.561790694230635,-0.5378923681010808,1.0
C,2.0,roc_auc,-0.12395116970017371,0.0048775193931718175,-0.1326967857403901,-0.11327592311701579,1.0
C,4.0,accuracy,-0.8766993727733836,0.0052210976236471964,-0.8852401909944244,-0.8650645997042515,1.0
C,4.0,f1,-0.8307118983098424,0.0009295731964471549,-0.8323831716037209,-0.8287650079390403,1.0
C,4.0,roc_auc,-0.3501757131402611,0.01749503416091387,-0.3794749038010046,-0.31086115587056223,1.0
