scenario,seed,drift_level,accuracy,f1,roc_auc,precision,recall,rt_psi,rt_entropy,rt_stability,rt_model_score,rd_data_anomaly_rate,rd_data_score_mean,agg_unified_mean,agg_unified_std,agg_threshold_hits,agg_w_data,agg_w_model
A,42,0.0,0.99715,0.982151244715829,0.9996239661175271,0.9841543771572011,0.98015625,0.00014508378762102198,0.5011281508917135,0.00018114744211287717,0.16897392885345022,0.05003125,0.41147238422011734,0.18031970307520687,0.04288388980811954,0.0,0.3,0.7
A,42,0.5,0.985525,0.902729945401092,0.9534481012759002,0.9761126248864669,0.839609375,0.0075960719326709294,0.5078033175557232,0.00012791832115952403,0.1716915808093135,0.04269375,0.41071559476645325,0.18275752516607113,0.0411530836144329,0.0,0.3,0.7
A,42,1.0,0.98475,0.8979591836734694,0.9532784039041271,0.9661627069834413,0.83875,0.00804024594789639,0.5078606157844384,0.000195935124026849,0.17454077259387266,0.04463125,0.41212420668141947,0.18597658802120637,0.04097136411778919,0.0,0.3,0.7
A,42,1.5,0.9833875,0.8898375331564987,0.9529788186778193,0.947651836158192,0.838671875,0.00835485615134163,0.5079126797944773,0.0002854440195443171,0.1739920985224138,0.04736875,0.4144886431775014,0.18574232600569698,0.041016489480027396,0.0,0.3,0.7
A,42,2.0,0.981175,0.8768803139306737,0.9526288314155911,0.9195816186556928,0.83796875,0.009419814843764593,0.5080652335701147,0.00019812801678370653,0.17440154400786503,0.05159375,0.4179374116557025,0.18793732420213352,0.04153393739493861,0.0,0.3,0.7
A,42,4.0,0.9560125,0.7531565656565656,0.9442571822456691,0.6833630346232179,0.838828125,0.035995941641251236,0.5117284782564824,0.0006439153302955916,0.1847973881635435,0.10170625,0.44130872471284477,0.21146873237735409,0.04326685337645468,0.0,0.3,0.7
A,43,0.0,0.9975875,0.9849735284957957,0.9997573321798574,0.9816108007448789,0.988359375,4.2885628353174465e-05,0.5016740849549164,0.00014333330180678935,0.17052198419712486,0.0502125,0.41462197197921313,0.18052520770598882,0.04146149155761219,0.0,0.3,0.7
A,43,0.5,0.98669375,0.9116267485783073,0.9517836961829145,0.9725445044725888,0.857890625,0.009538778216692316,0.5096214553668285,6.59786828430881e-05,0.17283867173724365,0.0451,0.414710858037727,0.18299005354679793,0.04004040032284023,0.0,0.3,0.7
A,43,1.0,0.98580625,0.9062616089486936,0.9509889324685802,0.9607070972258686,0.85765625,0.009896752294251203,0.510146337919609,0.00015212877465625949,0.17406248364672086,0.04720625,0.4166506848373826,0.18670092242405145,0.041314784858254835,0.0,0.3,0.7
A,43,1.5,0.984625,0.8992958899623383,0.9498869772206182,0.9446164430684555,0.858125,0.010230027339731065,0.510800134172627,0.00017151170868709033,0.17549674438359994,0.05065625,0.41965085778072,0.190004256822428,0.04184323563388911,0.0,0.3,0.7
